Invoice_id,Cust_id,Txn_date,Product_Sub_category,Product_Category,Qty,Rate,Tax,Total_Amt,Store_type
25890929042,266783,2016-09-24,Women,Footwear,-4,-1321,554.82,-5838.82,e-Shop
96176911576,266785,2017-02-06,Home Decoratives,Home and kitchen,-5,-1236,648.9,-6828.9,Brick and Mortar
42435707527,266794,2018-06-30,Audio and video,Electronics,-1,-123,12.915,-135.915,e-Shop
88316484015,266816,2018-12-08,Women,Footwear,-1,-74,7.77,-81.77,e-Shop
98097112949,266818,2017-04-19,Home Decoratives,Home and kitchen,-1,-1499,157.395,-1656.395,e-Shop
85773906672,266822,2016-03-31,Cameras,Electronics,-2,-154,32.34,-340.34,TeleShop
43549085521,266822,2018-03-28,Academic,Books,-4,-615,258.3,-2718.3,e-Shop
8240484357,266825,2017-03-16,Kids,Clothing,-4,-1196,502.32,-5286.32,e-Shop
98805067124,266833,2016-10-11,Kids,Books,-1,-168,17.64,-185.64,e-Shop
28679132905,266845,2016-08-28,Women,Bags,-2,-930,195.3,-2055.3,e-Shop
28679132905,266845,2016-08-30,Women,Bags,-2,-930,195.3,-2055.3,e-Shop
4170892941,266852,2016-12-21,Personal Appliances,Electronics,-1,-412,43.26,-455.26,Brick and Mortar
4170892941,266852,2016-12-24,Personal Appliances,Electronics,-1,-412,43.26,-455.26,Brick and Mortar
62311976794,266857,2016-06-18,Mens,Bags,-2,-1433,300.93,-3166.93,Brick and Mortar
91244240442,266864,2017-03-12,Kids,Footwear,-5,-494,259.35,-2729.35,e-Shop
16468397208,266870,2017-05-04,Fiction,Books,-3,-629,198.135,-2085.135,e-Shop
4545655117,266881,2017-03-17,Mens,Footwear,-2,-507,106.47,-1120.47,Brick and Mortar
4545655117,266881,2017-03-20,Mens,Footwear,-2,-507,106.47,-1120.47,Brick and Mortar
86293071463,266883,2017-04-22,DIY,Books,-5,-862,452.55,-4762.55,Brick and Mortar
86293071463,266883,2017-04-24,DIY,Books,-5,-862,452.55,-4762.55,Brick and Mortar
31937858775,266883,2018-09-25,Audio and video,Electronics,-4,-468,196.56,-2068.56,Brick and Mortar
66237401239,266896,2016-10-24,Mens,Bags,-5,-418,219.45,-2309.45,TeleShop
13048732855,266900,2016-01-02,Mens,Bags,-1,-1098,115.29,-1213.29,e-Shop
92594219915,266904,2016-11-09,Electric appliances,Home and kitchen,-4,-1020,428.4,-4508.4,e-Shop
22538177913,266911,2016-07-22,Bedding and Towels,Home and kitchen,-2,-1236,259.56,-2731.56,e-Shop
49890754409,266916,2018-06-27,Furnishing,Home and kitchen,-5,-1358,712.95,-7502.95,TeleShop
49207700730,266920,2017-02-03,Women,Footwear,-1,-996,104.58,-1100.58,TeleShop
68886181758,266921,2017-10-17,Furnishing,Home and kitchen,-1,-117,12.285,-129.285,Brick and Mortar
52413837254,266927,2016-06-11,Cameras,Electronics,-1,-423,44.415,-467.415,Brick and Mortar
6391779047,266931,2016-08-27,DIY,Books,-3,-1318,415.17,-4369.17,Brick and Mortar
72724977608,266931,2016-12-19,Kids,Books,-1,-620,65.1,-685.1,e-Shop
57548172324,266937,2017-12-02,Academic,Books,-1,-1467,154.035,-1621.035,e-Shop
22302198093,266939,2017-12-08,Fiction,Books,-4,-1412,593.04,-6241.04,e-Shop
51442118552,266944,2016-04-23,Kids,Footwear,-5,-973,510.825,-5375.825,e-Shop
46192772649,266945,2016-02-19,Audio and video,Electronics,-2,-1078,226.38,-2382.38,e-Shop
9934607237,266950,2016-12-24,Mens,Bags,-3,-1318,415.17,-4369.17,TeleShop
52555572527,266953,2018-02-06,Women,Bags,-5,-926,486.15,-5116.15,TeleShop
71900965128,266957,2018-05-17,Mens,Clothing,-5,-1474,773.85,-8143.85,Brick and Mortar
49982032355,266958,2018-03-14,Mens,Bags,-5,-559,293.475,-3088.475,Brick and Mortar
51389210277,266966,2016-03-13,Women,Bags,-1,-1348,141.54,-1489.54,e-Shop
36116271633,266966,2017-04-07,Fiction,Books,-5,-664,348.6,-3668.6,e-Shop
90260462481,266966,2018-10-28,Kids,Footwear,-1,-310,32.55,-342.55,Brick and Mortar
67756114437,266975,2016-04-10,Academic,Books,-5,-331,173.775,-1828.775,Brick and Mortar
98577349267,266975,2018-04-10,Computers,Electronics,-4,-1035,434.7,-4574.7,e-Shop
88402022262,266990,2018-05-28,Cameras,Electronics,-1,-601,63.105,-664.105,e-Shop
29850818552,267014,2017-12-24,Kids,Footwear,-5,-1252,657.3,-6917.3,Brick and Mortar
65810294202,267014,2018-06-07,Computers,Electronics,-2,-781,164.01,-1726.01,TeleShop
21056686360,267014,2018-12-16,Cameras,Electronics,-3,-895,281.925,-2966.925,Brick and Mortar
56587558610,267016,2017-08-13,Home Decoratives,Home and kitchen,-4,-807,338.94,-3566.94,e-Shop
36294538422,267023,2016-12-09,Bedding and Towels,Home and kitchen,-3,-529,166.635,-1753.635,e-Shop
56405977584,267024,2016-08-19,Home Decoratives,Home and kitchen,-5,-300,157.5,-1657.5,e-Shop
86546883501,267032,2017-10-24,Fiction,Books,-1,-648,68.04,-716.04,TeleShop
17562417547,267042,2016-06-16,Women,Bags,-4,-200,84.0,-884.0,e-Shop
17562417547,267042,2016-06-17,Women,Bags,-4,-200,84.0,-884.0,e-Shop
1167308476,267042,2018-07-03,Kids,Books,-1,-117,12.285,-129.285,TeleShop
14556383209,267045,2018-02-17,Mens,Clothing,-5,-1125,590.625,-6215.625,TeleShop
94347435336,267058,2017-12-05,Women,Bags,-5,-568,298.2,-3138.2,Brick and Mortar
61809388814,267067,2017-05-04,Mens,Clothing,-5,-157,82.425,-867.425,Brick and Mortar
19769155351,267081,2017-06-19,Academic,Books,-5,-327,171.675,-1806.675,e-Shop
50882933518,267084,2018-12-01,Women,Clothing,-4,-962,404.04,-4252.04,TeleShop
26027545230,267088,2017-12-28,Home Decoratives,Home and kitchen,-5,-859,450.975,-4745.975,Brick and Mortar
42161597232,267094,2016-01-31,Kids,Clothing,-3,-147,46.305,-487.305,Brick and Mortar
96272226619,267099,2017-04-21,Furnishing,Home and kitchen,-3,-495,155.925,-1640.925,Brick and Mortar
96272226619,267099,2017-04-28,Furnishing,Home and kitchen,-3,-495,155.925,-1640.925,Brick and Mortar
69455690597,267099,2018-09-01,Women,Bags,-3,-228,71.82,-755.82,TeleShop
16615831315,267103,2017-08-08,Furnishing,Home and kitchen,-2,-1297,272.37,-2866.37,TeleShop
96209924289,267104,2018-06-07,Kids,Books,-3,-1343,423.045,-4452.045,TeleShop
62862978980,267113,2017-02-12,Personal Appliances,Electronics,-2,-796,167.16,-1759.16,Brick and Mortar
66988200376,267117,2017-09-19,Mobiles,Electronics,-4,-1126,472.92,-4976.92,e-Shop
4952313090,267119,2016-03-27,Personal Appliances,Electronics,-2,-459,96.39,-1014.39,e-Shop
77772352678,267125,2017-04-09,Women,Clothing,-5,-416,218.4,-2298.4,Brick and Mortar
41768492801,267125,2017-07-24,Kids,Books,-3,-506,159.39,-1677.39,Brick and Mortar
35589805855,267134,2018-12-29,Mens,Footwear,-4,-515,216.3,-2276.3,TeleShop
11585769485,267135,2017-08-01,Home Decoratives,Home and kitchen,-1,-749,78.645,-827.645,e-Shop
67288023517,267145,2017-05-04,Kids,Books,-1,-673,70.665,-743.665,Brick and Mortar
75594252807,267151,2018-02-07,Mens,Bags,-4,-1227,515.34,-5423.34,Brick and Mortar
81709318458,267158,2017-09-26,Women,Bags,-2,-888,186.48,-1962.48,Brick and Mortar
32177435121,267162,2018-02-09,Mens,Clothing,-2,-117,24.57,-258.57,Brick and Mortar
23309903578,267164,2017-12-31,Personal Appliances,Electronics,-2,-1057,221.97,-2335.97,e-Shop
19242807973,267165,2017-05-11,Women,Clothing,-3,-1297,408.555,-4299.555,TeleShop
69861996576,267167,2016-08-23,Non-fiction,Books,-2,-862,181.02,-1905.02,Brick and Mortar
91872214099,267174,2018-06-07,Furnishing,Home and kitchen,-4,-456,191.52,-2015.52,e-Shop
26013737899,267180,2018-06-03,Mens,Bags,-3,-231,72.765,-765.765,e-Shop
5414577360,267189,2018-07-12,Furnishing,Home and kitchen,-1,-1155,121.275,-1276.275,Brick and Mortar
83752589794,267192,2017-01-22,Cameras,Electronics,-5,-618,324.45,-3414.45,Brick and Mortar
85496594077,267199,2018-11-27,Women,Clothing,-4,-366,153.72,-1617.72,e-Shop
4942455630,267203,2018-12-25,Bedding and Towels,Home and kitchen,-2,-223,46.83,-492.83,e-Shop
84224370176,267205,2017-04-03,Furnishing,Home and kitchen,-3,-1496,471.24,-4959.24,e-Shop
74032896563,267205,2017-05-27,Computers,Electronics,-2,-114,23.94,-251.94,Brick and Mortar
87742024561,267207,2017-01-07,Mens,Bags,-4,-1276,535.92,-5639.92,e-Shop
90869908087,267214,2017-06-27,Fiction,Books,-2,-1334,280.14,-2948.14,e-Shop
87660652341,267224,2017-04-05,Personal Appliances,Electronics,-5,-125,65.625,-690.625,e-Shop
48180398208,267231,2016-05-25,Electric appliances,Home and kitchen,-2,-187,39.27,-413.27,e-Shop
91272992903,267231,2016-08-18,Mobiles,Electronics,-4,-1260,529.2,-5569.2,Brick and Mortar
51939314179,267244,2016-02-24,Electric appliances,Home and kitchen,-1,-388,40.74,-428.74,e-Shop
59821338679,267245,2018-07-26,Mobiles,Electronics,-3,-271,85.365,-898.365,e-Shop
18334402869,267248,2016-02-26,Personal Appliances,Electronics,-4,-201,84.42,-888.42,Brick and Mortar
68658514751,267248,2017-05-17,Cameras,Electronics,-2,-277,58.17,-612.17,Brick and Mortar
53152348292,267251,2018-06-06,Bedding and Towels,Home and kitchen,-4,-1203,505.26,-5317.26,e-Shop
59349588580,267266,2016-02-14,Home Decoratives,Home and kitchen,-2,-500,105.0,-1105.0,Brick and Mortar
5419035611,267269,2016-08-07,Kids,Footwear,-2,-647,135.87,-1429.87,e-Shop
56454025977,267269,2017-09-15,Mens,Bags,-4,-1339,562.38,-5918.38,TeleShop
56454025977,267269,2017-09-18,Mens,Bags,-4,-1339,562.38,-5918.38,TeleShop
76157940344,267273,2016-08-08,Kids,Footwear,-1,-495,51.975,-546.975,TeleShop
34239069179,267273,2017-05-09,Cameras,Electronics,-3,-479,150.885,-1587.885,Brick and Mortar
29004770737,267286,2017-11-29,Furnishing,Home and kitchen,-4,-71,29.82,-313.82,e-Shop
96845494683,267291,2016-10-21,Non-fiction,Books,-3,-748,235.62,-2479.62,Brick and Mortar
91731806000,267293,2016-01-10,Computers,Electronics,-1,-551,57.855,-608.855,Brick and Mortar
35468578131,267296,2017-08-09,DIY,Books,-1,-622,65.31,-687.31,e-Shop
9044824427,267316,2018-10-22,Women,Clothing,-4,-1386,582.12,-6126.12,Brick and Mortar
81687085056,267324,2016-03-28,Computers,Electronics,-4,-837,351.54,-3699.54,e-Shop
90905620050,267324,2017-06-24,Women,Clothing,-3,-665,209.475,-2204.475,e-Shop
90905620050,267324,2017-06-26,Women,Clothing,-3,-665,209.475,-2204.475,e-Shop
52465091003,267325,2018-01-08,Bedding and Towels,Home and kitchen,-1,-1490,156.45,-1646.45,e-Shop
31793268077,267330,2017-06-04,Kids,Books,-5,-93,48.825,-513.825,Brick and Mortar
31793268077,267330,2017-07-04,Kids,Books,-5,-93,48.825,-513.825,Brick and Mortar
40439389002,267332,2018-09-30,Mobiles,Electronics,-5,-1305,685.125,-7210.125,Brick and Mortar
5958896864,267335,2018-09-03,Academic,Books,-5,-708,371.7,-3911.7,Brick and Mortar
9257163979,267338,2017-05-22,Computers,Electronics,-4,-357,149.94,-1577.94,e-Shop
56464326773,267360,2017-11-14,Kids,Books,-5,-959,503.475,-5298.475,e-Shop
90135381443,267361,2017-10-29,Kids,Books,-4,-1231,517.02,-5441.02,e-Shop
47348938080,267364,2018-10-14,Women,Footwear,-3,-1322,416.43,-4382.43,e-Shop
37725436293,267365,2017-03-27,Furnishing,Home and kitchen,-5,-1250,656.25,-6906.25,Brick and Mortar
96268797826,267374,2018-01-27,Mobiles,Electronics,-5,-278,145.95,-1535.95,Brick and Mortar
73562329131,267376,2018-07-24,Home Decoratives,Home and kitchen,-2,-369,77.49,-815.49,Brick and Mortar
19868733727,267384,2017-07-25,Kids,Books,-4,-74,31.08,-327.08,e-Shop
36568834140,267384,2018-10-18,Kids,Footwear,-5,-1076,564.9,-5944.9,TeleShop
39785359423,267385,2018-04-24,Non-fiction,Books,-1,-261,27.405,-288.405,TeleShop
46953137720,267390,2016-12-16,Furnishing,Home and kitchen,-4,-1322,555.24,-5843.24,Brick and Mortar
6324297083,267390,2016-12-29,Mens,Bags,-2,-1276,267.96,-2819.96,e-Shop
23172858022,267390,2017-05-06,Personal Appliances,Electronics,-2,-1182,248.22,-2612.22,Brick and Mortar
95546362682,267396,2017-05-23,Mobiles,Electronics,-3,-717,225.855,-2376.855,Brick and Mortar
98772804255,267402,2018-01-02,Home Decoratives,Home and kitchen,-3,-1246,392.49,-4130.49,e-Shop
618433640,267414,2016-12-22,Kids,Footwear,-5,-1257,659.925,-6944.925,Brick and Mortar
98178323061,267419,2016-08-22,Electric appliances,Home and kitchen,-3,-1376,433.44,-4561.44,e-Shop
69693810050,267420,2016-07-08,Women,Bags,-1,-1460,153.3,-1613.3,e-Shop
57658020095,267420,2016-12-09,Personal Appliances,Electronics,-5,-560,294.0,-3094.0,e-Shop
22956363366,267424,2017-11-28,Kids,Books,-4,-180,75.6,-795.6,TeleShop
22956363366,267424,2017-11-30,Kids,Books,-4,-180,75.6,-795.6,TeleShop
6541956678,267425,2017-01-30,Furnishing,Home and kitchen,-5,-981,515.025,-5420.025,Brick and Mortar
